,name,online_order,book_table,rating,votes,location,rest_type,dish_liked,cuisines,approx_cost,type
14610,Bhojanam Restaurant,No,No,3.6,196,Electronic City,Casual Dining,"Biryani, Veg Thali, Chicken Tikka, Tandoori Roti, Buttermilk","Andhra, Biryani",600,Delivery
14611,Ruchie Rich,No,No,3.5,134,Electronic City,Quick Bites,NA,"Biryani, Fast Food, North Indian",200,Delivery
14612,RK Garden Family Restaurant,No,No,3.5,17,Electronic City,Casual Dining,NA,"Andhra, Chinese, North Indian, South Indian",600,Delivery
14613,Sai Grand,No,No,0,0,Electronic City,Quick Bites,NA,"South Indian, North Indian, Chinese",200,Delivery
14614,The Dining Table - Sahar Pavillion,No,Yes,3.7,74,Electronic City,"Casual Dining, Bar","Biryani, Salads, Pasta, Cheese Balls","Chinese, Continental, North Indian, Pizza, South Indian",1500,Delivery
14615,Vijayawadawari Sandhya Andhra Mess,Yes,No,3.4,10,Electronic City,Quick Bites,NA,"North Indian, Biryani, South Indian",400,Delivery
14616,Eden Huts Dhaba,No,No,3.6,33,Electronic City,Casual Dining,NA,"Chinese, North Indian",500,Delivery
14617,Silicon Spicy Bite & Sip,No,No,0,0,Electronic City,Quick Bites,NA,"Fast Food, Beverages",200,Delivery
14618,Samrudhi,No,No,2.9,18,Electronic City,Casual Dining,NA,"Andhra, Chinese, North Indian",450,Delivery
14619,Hotel Food Zone,No,No,3.3,9,Electronic City,Quick Bites,NA,"North Indian, Chinese",350,Delivery
14620,NMR Multicuisine Restaurant,Yes,No,3.6,9,Electronic City,Casual Dining,NA,"North Indian, Chinese, Arabian, Juices",550,Delivery
14621,Oasis Restaurant,No,No,2.9,28,Electronic City,Casual Dining,NA,"North Indian, Chinese, Kebab",550,Delivery
14622,Swad,No,No,3.7,38,Electronic City,Casual Dining,Malai Kofta,"North Indian, Chinese",500,Delivery
14623,Salt And Spice,No,No,3.2,77,Electronic City,Quick Bites,NA,"North Indian, Kerala",450,Delivery
14626,The Hungry Shark Cafe,No,No,3.9,117,Electronic City,Cafe,"Nachos, Noodles, Burgers, Tea, Fries, Pasta, Chicken Burger","Cafe, Continental, Beverages",700,Delivery
14627,Bawarchi,No,No,3,29,Electronic City,Quick Bites,NA,"North Indian, Chinese",400,Delivery
14628,Kinara Family Restaurant,No,No,3.5,11,Electronic City,Casual Dining,NA,"South Indian, North Indian, Chinese",600,Delivery
14629,Food Planet,No,No,3.1,5,Electronic City,Quick Bites,NA,"North Indian, Chinese, Kerala",400,Delivery
14630,Bachelor's Special Biriyani,No,No,3.3,6,Electronic City,Quick Bites,NA,"Biryani, North Indian, South Indian",250,Delivery
14631,E Foods Regalia,No,No,3.1,11,Electronic City,Quick Bites,NA,"South Indian, Chinese",550,Delivery
14632,Malabar Restaurant,No,No,3.6,19,Electronic City,Quick Bites,NA,"Kerala, Fast Food, Beverages",400,Delivery
14633,Andhra Chettinad Cuisine,No,No,3.6,24,Electronic City,Quick Bites,NA,"Andhra, South Indian, Chettinad",250,Delivery
14637,Varenyam,No,No,3.7,56,Electronic City,Casual Dining,"Filter Coffee, Dal Tadka","South Indian, North Indian",500,NA
14638,Cake Dilim,No,No,3.2,6,Electronic City,Bakery,NA,"Bakery, Desserts",400,Delivery
14639,The Juice Shop,No,No,0,0,Electronic City,Quick Bites,NA,"Juices, North Indian",200,Delivery
14640,Reyniks Flavours,No,No,0,0,Electronic City,Quick Bites,NA,North Indian,150,Delivery
14641,Sweet Revenge Bake N Cafe,No,No,0,0,Electronic City,Quick Bites,NA,"Bakery, Fast Food, Cafe",200,Delivery
14646,Cakea,No,No,0,0,Electronic City,Delivery,NA,Bakery,300,Delivery
14647,VMS Star Biriyani,No,No,3.1,5,Electronic City,Quick Bites,NA,"Biryani, South Indian",350,Delivery
14648,MBR Dum Biryani County,No,No,3.5,24,Electronic City,Quick Bites,NA,"Biryani, North Indian",150,Delivery
14649,Desi Breakk,No,No,3.6,29,Electronic City,Quick Bites,NA,North Indian,150,Delivery
14650,Bengaluru Restaurant,No,No,3.1,22,Electronic City,Casual Dining,NA,"North Indian, South Indian",1500,Delivery
14651,S R Andhra Mess,No,No,3.3,16,Electronic City,Mess,NA,Andhra,200,Delivery
14669,Shiv Shankar Hotel,No,No,3.5,10,Electronic City,Quick Bites,NA,"North Indian, Chinese",350,Delivery
14670,Gourmet,No,No,3.5,12,Electronic City,Casual Dining,NA,"North Indian, Chinese, Continental, South Indian",800,Delivery
14679,NightOwl,No,No,2.7,31,Electronic City,"Takeaway, Delivery",NA,North Indian,400,Delivery
14708,Big Apple Restaurant,No,No,3.2,4,Electronic City,Quick Bites,NA,"North Indian, Chinese, Pizza, Burger",300,Delivery
14709,Hotel The Nalanda,No,No,3.2,4,Electronic City,Casual Dining,NA,"North Indian, South Indian",700,Delivery
14710,Pepper Pillar,No,No,3.4,11,Electronic City,Casual Dining,NA,South Indian,700,Delivery
14711,Hotel A-1,No,No,3.3,5,Electronic City,Quick Bites,NA,"North Indian, Chinese",300,Delivery
14712,Andhra Mess,No,No,3.4,8,Electronic City,Mess,NA,South Indian,200,Delivery
14713,Vasu Biriyani Paradise,No,No,3.1,6,Electronic City,Quick Bites,NA,"North Indian, Biryani, Chinese",350,Delivery
14714,Dilli 6,No,No,3.2,26,Electronic City,Casual Dining,NA,"North Indian, Chinese",450,Delivery
14715,Yum Kitchen,No,No,2.8,29,Electronic City,"Takeaway, Delivery",NA,"North Indian, Chinese",600,Delivery
14716,MK Dabbawala,No,No,3.2,17,Electronic City,Delivery,NA,North Indian,400,Delivery
14718,The Magic Chef,No,No,3.7,28,Electronic City,Quick Bites,NA,"North Indian, Chinese",300,Delivery
14719,Satkar,No,No,3.6,22,Electronic City,Quick Bites,NA,"Chinese, North Indian",350,Delivery
14722,Sandesh Sweets & Chats,No,No,2.9,126,Electronic City,Quick Bites,"Chaat, Rasmalai, Samosa, Pav Bhaji, Raj Kachori","South Indian, Street Food, Beverages",350,NA
14723,NH7 Resto Pub,No,No,3.3,6,Electronic City,"Casual Dining, Pub",NA,"Andhra, Chinese, Continental",1400,Delivery
14724,Hamara Kozhikode,No,No,3.3,5,Electronic City,Quick Bites,NA,"Kerala, Juices",300,Delivery
14726,New Andhra Spice,No,No,3.3,4,Electronic City,"Takeaway, Delivery",NA,Andhra,400,Delivery
14728,New Green Leaf Restaurant,No,No,3.6,42,Electronic City,Casual Dining,NA,"Kerala, North Indian, Chinese, South Indian",600,Delivery
14730,Bhukkad,No,No,3.3,7,Electronic City,Quick Bites,NA,"Healthy Food, Fast Food",250,Delivery
14731,Eatsy,No,No,3.5,12,Electronic City,"Takeaway, Delivery",NA,"North Indian, South Indian",300,Delivery
14732,Xpress Kitchen,No,No,3.3,8,Electronic City,"Takeaway, Delivery",NA,"North Indian, Chinese",500,Delivery
14733,Chikeys,No,No,3,19,Electronic City,Quick Bites,NA,"Burger, Fast Food",400,Delivery
14734,Momm's The Kitchen,No,No,3.4,7,Electronic City,Casual Dining,NA,"Andhra, South Indian, North Indian, Chinese",500,Delivery
14735,The Three Dragons,No,No,3.3,5,Electronic City,Delivery,NA,Chinese,400,Delivery
14736,Zaffron Express,No,No,3.5,8,Electronic City,Casual Dining,NA,"North Indian, Chinese, Biryani",550,Delivery
14737,Hungry Kya?,No,No,3.3,8,Electronic City,Quick Bites,NA,"North Indian, Chinese",400,Delivery
14739,Hunter's Lounge,No,No,3.1,9,Electronic City,Casual Dining,NA,"South Indian, North Indian, Chinese",500,Delivery
14741,Polo Scoops,No,No,3.2,4,Electronic City,Dessert Parlor,NA,Desserts,200,Delivery
14743,Green Tree Garden Restaurant,No,No,3.4,6,Electronic City,Casual Dining,NA,"Chinese, Hyderabadi, Mughlai, South Indian",500,Delivery
14744,Till The Last Bite,No,No,3.4,7,Electronic City,Quick Bites,NA,"North Indian, Chinese",300,Delivery
14745,Sattvic,No,No,3.5,11,Electronic City,Casual Dining,NA,"South Indian, North Indian",450,Delivery
14746,Old Stories,No,No,3.7,29,Electronic City,Delivery,NA,"Bengali, North Indian, Oriya",600,Delivery
14747,Ham Khim Chinese Fast Food,No,No,3.1,7,Electronic City,Quick Bites,NA,Chinese,300,Delivery
14748,Mast Kalandar,No,No,2.4,142,Electronic City,Casual Dining,"Gulab Jamun, Thali, Dal Makhani, Paneer Curry, Rajma",North Indian,450,Delivery
14750,The Breakfast Club,No,No,3.9,90,Electronic City,Delivery,Appam,"Continental, South Indian, North Indian",400,NA
14751,HOT BOX,No,No,3.6,28,Electronic City,Quick Bites,NA,"North Indian, Chinese",200,Delivery
14752,4Foodiez - The Restaurant,No,No,3,23,Electronic City,Quick Bites,NA,"Street Food, Chinese, North Indian, South Indian",400,Delivery
14753,Biriyani Paradise,No,No,3.5,18,Electronic City,Casual Dining,NA,"North Indian, Kerala, Biryani, South Indian",550,Delivery
14754,Marwa Family Restaurant,No,No,3,8,Electronic City,Quick Bites,NA,"North Indian, Chinese",500,Delivery
14755,Tasty Funda,No,No,3.3,4,Electronic City,Quick Bites,NA,"North Indian, Chinese",200,Delivery
14756,Pugals Biriyani,No,No,3.6,25,Electronic City,Quick Bites,NA,"Kerala, Biryani, Chinese, North Indian",400,Delivery
14757,Enroute,No,No,3.6,31,Electronic City,"Takeaway, Delivery",NA,"Continental, Fast Food",300,Delivery
14758,Lancy Sweets,No,No,3.7,16,Electronic City,Dessert Parlor,NA,Mithai,200,Delivery
14759,SV Crispy Chicken,No,No,3.5,12,Electronic City,Quick Bites,NA,Fast Food,200,Delivery
14760,Choconut Cafe,No,No,3.4,6,Electronic City,Quick Bites,NA,"Fast Food, Beverages",250,Delivery
14761,Rara Avis,No,No,0,0,Electronic City,"Takeaway, Delivery",NA,"Kerala, Seafood, Biryani, Desserts",400,Delivery
14762,Clean Eats,No,No,0,0,Electronic City,"Takeaway, Delivery",NA,Healthy Food,300,Delivery
14764,Shaadi Ki Biryani,No,No,0,0,Electronic City,"Takeaway, Delivery",NA,"Biryani, Charcoal Chicken",600,Delivery
14765,Arzak,No,No,0,0,Electronic City,"Takeaway, Delivery",NA,"Arabian, Middle Eastern, Rolls, Seafood, BBQ",300,Delivery
14767,Desi Tadka,No,No,3,16,Electronic City,Quick Bites,NA,"North Indian, Chinese",300,Delivery
14768,FAB Cafe,No,No,3.1,7,Electronic City,Quick Bites,NA,"Fast Food, Beverages",250,Delivery
14770,Spicy Tadka,No,No,3.5,47,Electronic City,Delivery,NA,"North Indian, Chinese, Bengali",400,Delivery
14771,Adya Hotel,No,No,3.3,4,Electronic City,Quick Bites,NA,"South Indian, North Indian, Chinese",400,Delivery
14772,The US Burger,No,No,3,13,Electronic City,Quick Bites,NA,Fast Food,150,Delivery
14778,Pehla Niwala,No,No,2.8,41,Electronic City,Quick Bites,NA,"North Indian, Momos",400,Delivery
14779,The Lemon Grass Kitchen,No,No,3.3,5,Electronic City,Quick Bites,NA,"Chinese, Thai",300,Delivery
14781,Bite Sip Repeat,No,No,3.4,6,Electronic City,Quick Bites,NA,"Fast Food, South Indian, North Indian",150,Delivery
14787,Andhra Ruchulu,No,No,3.3,5,Electronic City,Quick Bites,NA,South Indian,250,Delivery
14788,Chef Delicacies,No,No,0,0,Electronic City,"Takeaway, Delivery",NA,"Kebab, Rolls, Charcoal Chicken",400,Delivery
14789,Kulhad Junction,No,No,0,0,Electronic City,Cafe,NA,Cafe,100,Delivery
14790,Flavors Restaurant,No,No,0,0,Electronic City,"Takeaway, Delivery",NA,North Indian,150,Delivery
14791,Star Briyani,No,No,0,0,Electronic City,Quick Bites,NA,"Biryani, North Indian",200,Delivery
14793,Nawabi Kitchen,No,No,0,0,Electronic City,Casual Dining,NA,"North Indian, Chinese",600,Delivery
14794,Namma Atithi,No,No,0,0,Electronic City,Quick Bites,NA,"North Indian, South Indian, Chinese, Biryani",200,Delivery
14798,Sandwich Jn,No,No,0,0,Electronic City,Quick Bites,NA,"Fast Food, Beverages",150,Delivery
14799,Flavour A Azam,No,No,3.5,42,Electronic City,Quick Bites,"Chicken Boneless Biryani, Chicken Kebab, Nati Biryani",North Indian,400,Delivery
14800,Bawarchi Restaurant,No,No,3.1,4,Electronic City,Casual Dining,NA,"North Indian, Biryani",700,Delivery
14801,Curries And Pickles,No,No,3.6,17,Electronic City,Quick Bites,NA,"Andhra, North Indian, Biryani",400,Delivery
14803,Bhaiya Ji Food Court,No,No,3.5,8,Electronic City,Quick Bites,NA,"North Indian, Chinese",300,Delivery
14806,Chung Wah,No,No,2.9,95,Electronic City,Casual Dining,"Chilli Paneer, Hakka Noodles",Chinese,500,Delivery
14808,Madiha Biryani House,No,No,3.4,13,Electronic City,NA,NA,"Biryani, North Indian, Beverages",450,Delivery
14809,Xpress Chai,No,No,0,0,Electronic City,"Beverage Shop, Quick Bites",NA,Tea,150,Delivery
14810,Eat Repeat Express,No,No,3.1,4,Electronic City,Delivery,NA,"North Indian, Chinese, Continental",600,Delivery
14811,Mustard Food Court,No,No,3.8,57,Electronic City,Quick Bites,"Vegetable Biryani, Chicken Wings, Chicken Biryani","North Indian, Chinese",500,Delivery
14812,Cafe Black Pepper,No,No,0,0,Electronic City,Quick Bites,NA,Fast Food,200,Delivery
14813,Chokha Zaika,No,No,0,0,Electronic City,Quick Bites,NA,North Indian,300,Delivery
14815,Vijayawadavari Sandya Andhra Mess,Yes,No,3.6,18,Electronic City,Mess,NA,Andhra,200,Delivery
14816,E - City Combos,Yes,No,3.5,6,Electronic City,"Takeaway, Delivery",NA,"South Indian, North Indian, Chinese, Biryani",350,Delivery
14817,Hide Out - The Golden Tulip,Yes,No,3.2,9,Electronic City,Bar,NA,Finger Food,1800,Delivery
14819,Vyanjan,Yes,No,3.3,12,Electronic City,Quick Bites,NA,"North Indian, Chinese",400,Delivery
14820,TeamDelish,No,No,3.4,9,Electronic City,Delivery,NA,Healthy Food,300,Delivery
14821,Rags on Fire,Yes,No,3.1,64,Electronic City,Cafe,"Soya Chaap, Biryani",Cafe,600,Delivery
14822,Brunch & Munch - Hotel Millennium Plaza,No,No,3.5,23,Electronic City,Casual Dining,NA,"North Indian, Chinese, Mangalorean, Andhra",1200,Delivery
14824,Shoiab Family Restaurant,Yes,No,3.6,14,Electronic City,Casual Dining,NA,"North Indian, South Indian, Chinese",600,Delivery
14825,Pandit Ji Sweets & Namkeen,Yes,No,3.6,13,Electronic City,Sweet Shop,NA,"Mithai, Street Food",300,Delivery
14826,Ramdev Bhojnalaya,No,No,3,29,Electronic City,Quick Bites,NA,"Rajasthani, Gujarati",200,Delivery
14827,Bangalore Cakes,Yes,No,2.9,17,Electronic City,Bakery,NA,Bakery,250,Delivery
14828,Village Palace,Yes,No,3,46,Electronic City,Quick Bites,NA,"North Indian, Chinese, Andhra, Seafood",250,Delivery
14829,Hotel Masti,Yes,No,2.8,25,Electronic City,Delivery,NA,"North Indian, Biryani, Chinese",300,Delivery
14830,Milkshake Kulture,No,No,3.5,10,Electronic City,Beverage Shop,NA,Beverages,300,Delivery
14832,Krutunga Restaurant,No,No,3.4,20,Electronic City,Casual Dining,NA,"Chinese, North Indian, South Indian",700,Delivery
14834,The Kitchen,Yes,No,3.7,28,Electronic City,"Takeaway, Delivery",NA,"North Indian, Chinese",250,Delivery
14838,Choco Nut Cafe,Yes,No,3.2,19,Electronic City,Quick Bites,NA,Desserts,150,Delivery
14843,Adyar Anand Bhavan Sweets,No,No,0,0,Electronic City,Quick Bites,NA,"South Indian, North Indian, Chinese, Street Food",200,Delivery
14845,Magic Packs,Yes,No,3.1,22,Electronic City,NA,NA,"North Indian, South Indian",300,Delivery
14846,Kairali Restaurant,Yes,No,3.4,19,Electronic City,Quick Bites,NA,"Kerala, South Indian",400,Delivery
14847,Grilliez,No,No,0,0,Electronic City,"Takeaway, Delivery",NA,"Continental, BBQ, Beverages",400,Delivery
14848,Kanti Sweets,Yes,No,3.6,16,Electronic City,Sweet Shop,NA,"Mithai, Street Food",400,Delivery
14850,Kadhai Tadka family Restaurant,No,No,0,0,Electronic City,Quick Bites,NA,"Chinese, North Indian",400,Delivery
14851,Food Lover,No,No,0,0,Electronic City,"Takeaway, Delivery",NA,"North Indian, South Indian, Fast Food",300,Delivery
14853,The Hyderbadi Chefs,Yes,No,3.4,4,Electronic City,Quick Bites,NA,"South Indian, North Indian, Chinese",400,Delivery
14854,Bhojan@99,Yes,No,0,0,Electronic City,"Takeaway, Delivery",NA,Fast Food,200,Delivery
14857,Adarsh Bakery,No,No,3.1,10,Electronic City,Bakery,NA,"Bakery, Fast Food",300,Delivery
14858,Cafe HIGHRANGERS,Yes,No,3.3,4,Electronic City,Cafe,NA,"Cafe, Fast Food, Chinese",400,Delivery
14859,The Duke of Juices,No,No,0,0,Electronic City,"Takeaway, Delivery",NA,"Juices, Beverages, Salad",200,Delivery
14860,Basmati's Briyani Nation,Yes,No,0,0,Electronic City,"Takeaway, Delivery",NA,"South Indian, Biryani",350,Delivery
14861,Soul Indian Specialty - Svenska Design Hotel,Yes,Yes,3.7,266,Electronic City,Fine Dining,"Cocktails, Pasta, Fish, Dal Makhani, Salads, Coffee, Babaganush","North Indian, South Indian, Asian, Italian, Continental",2000,Delivery
14863,Onesta,Yes,Yes,4.5,863,Electronic City,"Casual Dining, Cafe","Pasta, Ravioli, Potato Wedges, Jalapeno Cheeseballs, Chicken Pizza, Lasagne, Veggie Pizza","Pizza, Cafe, Italian",600,Desserts
14865,Cakes Wagon,Yes,No,3.3,37,Electronic City,Bakery,NA,"Bakery, Desserts",600,Desserts
14866,MAD Belgian Waffles,Yes,No,3.8,12,Electronic City,Dessert Parlor,NA,Desserts,250,Desserts
14870,Apsara Ice Cream,No,No,4,67,Electronic City,Dessert Parlor,"Panipuri, Cheesecake, Guava Ice Cream, Almond Ice Cream","Ice Cream, Desserts",200,Desserts
14871,The Platonic Cafe,Yes,No,0,0,Electronic City,Cafe,NA,"Cafe, Beverages",500,Desserts
14874,Laddoos,No,No,2.8,124,Electronic City,"Quick Bites, Dessert Parlor","Chaat, Paratha, Thali, Panipuri, Pav Bhaji, Gajar Ka Halwa, Veg Cutlet","North Indian, Street Food, Mithai",250,Desserts
14875,NY Pizza & Waffles,Yes,No,3.1,273,Electronic City,Quick Bites,"Pizza, Waffles","Pizza, Desserts",400,Desserts
14878,Thanco's Natural Ice Creams,Yes,No,3.7,54,Electronic City,Dessert Parlor,Belgian Chocolate,"Ice Cream, Desserts",450,Desserts
14881,Baskin Robbins,Yes,No,3.8,108,Electronic City,Food Court,NA,"Ice Cream, Desserts",250,Desserts
14882,Frozen Bottle,Yes,No,4.1,209,Electronic City,"Beverage Shop, Dessert Parlor","Chips, Ferrero Rocher, Vanilla Ice Cream","Beverages, Desserts",400,Desserts
14884,Sweet Chariot,Yes,No,3,60,Electronic City,Dessert Parlor,"Coffee, Mousse Cup","Bakery, Fast Food",500,Desserts
14885,French Bake House,Yes,No,3.7,91,Electronic City,Bakery,NA,"Bakery, French, Fast Food",200,Desserts
14886,Cafe Crumb'z,No,No,3.3,4,Electronic City,"Cafe, Dessert Parlor",NA,"Cafe, Beverages, Fast Food",300,Desserts
14887,Mr. Meetharam,Yes,No,3.3,7,Electronic City,Quick Bites,NA,"Mithai, Street Food",150,Desserts
14888,Chef Baker's,Yes,No,3.8,101,Electronic City,"Bakery, Quick Bites","Pizza, Waffles, Pasta, Sandwiches, Garlic Bread, Chicken Grill, Cheese Sandwich","Bakery, Fast Food, Pizza, Burger, Cafe",600,Desserts
14889,Silver Leaf - Ramee Guestline Hotels,No,No,3.5,17,Electronic City,Casual Dining,NA,"Continental, Mughlai, North Indian, Chinese",900,Desserts
14890,Pulla Reddy Sweets,No,No,3,22,Electronic City,Dessert Parlor,NA,Mithai,250,Desserts
14891,Just Cakes,Yes,No,3.4,22,Electronic City,Bakery,NA,Bakery,350,Desserts
14892,eat.fit,Yes,No,0,0,Electronic City,"Takeaway, Delivery",NA,"Healthy Food, North Indian, Biryani, Continental, Sandwich, Desserts",500,Desserts
14893,Entree cafe,Yes,No,3.7,56,Electronic City,"Cafe, Bakery","Coffee, Burgers, French Fries","Cafe, Bakery, Desserts",400,Desserts
14894,CakeZone,Yes,No,3.2,9,Electronic City,Bakery,NA,"Bakery, Desserts",500,Desserts
14895,Chivi's Meilleurs Boulangers,Yes,No,3.4,12,Electronic City,Quick Bites,NA,"South Indian, Bakery, Fast Food",300,Desserts
14896,Foodie Nation,Yes,Yes,3.5,89,Electronic City,Casual Dining,NA,"North Indian, Chinese, Arabian",1000,Desserts
14897,Pandit Ji Sweets & Namkeen,Yes,No,3.6,13,Electronic City,Sweet Shop,NA,"Mithai, Street Food",300,Desserts
14898,Cake Menu,Yes,No,3.3,23,Electronic City,Bakery,NA,Bakery,400,Desserts
14899,Jodhpur Sweets,No,No,3.8,29,Electronic City,Beverage Shop,NA,"Desserts, Street Food",100,Desserts
14900,Sriji's Mithai,No,No,3.4,5,Electronic City,"Dessert Parlor, Sweet Shop",NA,"Desserts, Mithai",150,Desserts
14901,Bangalore Cakes,Yes,No,2.9,17,Electronic City,Bakery,NA,Bakery,250,Desserts
14903,Donut Cafe,Yes,No,3.9,163,Electronic City,"Dessert Parlor, Quick Bites","Donut, Brownie, Hot Chocolate, Sandwiches","Desserts, Fast Food",250,Desserts
14904,Magic Oven,No,No,4,135,Electronic City,"Cafe, Dessert Parlor","Sandwiches, Burgers, Coffee, Ginger Tea, Red Velvet, Chicken Penne, White Sauce Pasta","Cafe, Desserts",400,NA
14905,The French Loaf,Yes,No,2.6,64,Electronic City,"Bakery, Quick Bites",Swiss Roll,"Bakery, Desserts, Sandwich",400,Desserts
14906,The Hungry Shark Cafe,No,No,3.9,117,Electronic City,Cafe,"Nachos, Noodles, Burgers, Tea, Fries, Pasta, Chicken Burger","Cafe, Continental, Beverages",700,Desserts
14907,Mumbai Kulfi,Yes,No,3.7,61,Electronic City,Dessert Parlor,NA,"Ice Cream, Desserts",100,Desserts
14908,The Pastry House,Yes,No,3.8,60,Electronic City,Bakery,NA,"Bakery, Desserts",400,Desserts
14909,Sweet Revenge,No,No,3.3,9,Electronic City,"Bakery, Quick Bites",NA,"Bakery, Fast Food",300,Desserts
14910,Adarsh Bakery,No,No,3.1,10,Electronic City,Bakery,NA,"Bakery, Fast Food",300,Desserts
14911,Flying Cakes,Yes,No,3.1,127,Electronic City,Bakery,"Chocochip Cake, Butterscotch Cake","Bakery, Desserts",500,Desserts
